drug,application_number,regulatory_application,orange_book
Glycopyrronium,210361,"{""application_type"": ""NDA"", ""application_number"": ""210361"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""QBREXZA"", ""applicant"": ""JOURNEY MEDICAL CORP"", ""first_approval_date"": ""2018-06-28""}","{""application_type"": ""N"", ""application_number"": ""210361"", ""ingredient"": ""GLYCOPYRRONIUM TOSYLATE"", ""trade_name"": ""QBREXZA"", ""applicant"": ""JOURNEY"", ""applicant_full_name"": ""JOURNEY MEDICAL CORP"", ""products"": [{""product_number"": ""001"", ""strength"": ""EQ 2.4% BASE"", ""dosage_form"": ""CLOTH"", ""route"": ""TOPICAL"", ""approval_date"": ""2018-06-28"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""10052267"", ""expiration_date"": ""2028-10-17"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2398"", ""delisted"": false, ""submission_date"": ""2018-09-20"", ""product_numbers"": [""001""]}, {""patent_number"": ""8618160"", ""expiration_date"": ""2029-12-10"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2398"", ""delisted"": false, ""submission_date"": ""2018-09-20"", ""product_numbers"": [""001""]}, {""patent_number"": ""9744105"", ""expiration_date"": ""2030-07-18"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2398"", ""delisted"": false, ""submission_date"": ""2018-09-20"", ""product_numbers"": [""001""]}, {""patent_number"": ""10004717"", ""expiration_date"": ""2033-02-28"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2398"", ""delisted"": false, ""submission_date"": ""2018-09-20"", ""product_numbers"": [""001""]}, {""patent_number"": ""10543192"", ""expiration_date"": ""2033-02-28"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2020-02-27"", ""product_numbers"": [""001""]}, {""patent_number"": ""10548875"", ""expiration_date"": ""2033-02-28"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": ""U-2398"", ""delisted"": false, ""submission_date"": ""2020-03-03"", ""product_numbers"": [""001""]}, {""patent_number"": ""8859610"", ""expiration_date"": ""2033-02-28"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2398"", ""delisted"": false, ""submission_date"": ""2018-09-20"", ""product_numbers"": [""001""]}, {""patent_number"": ""9259414"", ""expiration_date"": ""2033-02-28"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2398"", ""delisted"": false, ""submission_date"": ""2018-09-20"", ""product_numbers"": [""001""]}], ""exclusivities"": [], ""latest_patent_expiration"": ""2033-02-28"", ""latest_exclusivity_expiration"": null, ""data_file_date"": null}"
Guselkumab,761061,"{""application_type"": ""BLA"", ""application_number"": ""761061"", ""registry"": ""purple_book"", ""center"": ""CDER"", ""proprietary_name"": ""Tremfya"", ""applicant"": ""Janssen Biotech, Inc."", ""first_approval_date"": ""2017-07-13""}",
Hydrogen Peroxide,209305,"{""application_type"": ""NDA"", ""application_number"": ""209305"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""ESKATA"", ""applicant"": ""ACLARIS THERAPEUTICS INC"", ""first_approval_date"": ""2017-12-14""}","{""application_type"": ""N"", ""application_number"": ""209305"", ""ingredient"": ""HYDROGEN PEROXIDE"", ""trade_name"": ""ESKATA"", ""applicant"": ""ACLARIS"", ""applicant_full_name"": ""ACLARIS THERAPEUTICS INC"", ""products"": [{""product_number"": ""001"", ""strength"": ""40%"", ""dosage_form"": ""SOLUTION"", ""route"": ""TOPICAL"", ""approval_date"": ""2017-12-14"", ""rld"": true, ""rs"": false, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""10098910"", ""expiration_date"": ""2035-04-21"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2205"", ""delisted"": false, ""submission_date"": ""2018-10-25"", ""product_numbers"": [""001""]}, {""patent_number"": ""10493103"", ""expiration_date"": ""2035-04-21"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2020-01-21"", ""product_numbers"": [""001""]}, {""patent_number"": ""10729720"", ""expiration_date"": ""2035-04-21"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2020-08-11"", ""product_numbers"": [""001""]}, {""patent_number"": ""9675639"", ""expiration_date"": ""2035-07-04"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2205"", ""delisted"": false, ""submission_date"": ""2018-01-03"", ""product_numbers"": [""001""]}, {""patent_number"": ""9980983"", ""expiration_date"": ""2035-04-21"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2205"", ""delisted"": false, ""submission_date"": ""2018-06-18"", ""product_numbers"": [""001""]}], ""exclusivities"": [], ""latest_patent_expiration"": ""2035-07-04"", ""latest_exclusivity_expiration"": null, ""data_file_date"": null}"
Icotrokinra,220149,"{""application_type"": ""NDA"", ""application_number"": ""220149"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""ICOTYDE"", ""applicant"": ""JANSSEN BIOTECH"", ""first_approval_date"": ""2026-03-17""}","{""application_type"": ""N"", ""application_number"": ""220149"", ""ingredient"": ""ICOTROKINRA HYDROCHLORIDE"", ""trade_name"": ""ICOTYDE"", ""applicant"": ""JANSSEN BIOTECH"", ""applicant_full_name"": ""JANSSEN BIOTECH INC"", ""products"": [{""product_number"": ""001"", ""strength"": ""EQ 200MG BASE"", ""dosage_form"": ""TABLET"", ""route"": ""ORAL"", ""approval_date"": ""2026-03-17"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""12552836"", ""expiration_date"": ""2039-07-12"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2026-04-02"", ""product_numbers"": [""001""]}, {""patent_number"": ""11845808"", ""expiration_date"": ""2041-01-14"", ""drug_substance_claim"": true, ""drug_product_claim"": false, ""patent_use_code"": ""U-4447"", ""delisted"": false, ""submission_date"": ""2026-04-02"", ""product_numbers"": [""001""]}, {""patent_number"": ""11939361"", ""expiration_date"": ""2041-11-19"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-4447"", ""delisted"": false, ""submission_date"": ""2026-04-02"", ""product_numbers"": [""001""]}], ""exclusivities"": [{""code"": ""NCE"", ""expiration_date"": ""2031-03-17"", ""product_numbers"": [""001""]}], ""latest_patent_expiration"": ""2041-11-19"", ""latest_exclusivity_expiration"": ""2031-03-17"", ""data_file_date"": null}"
Immune Globulin Intravenous (Human) (Octagam 10%),125062,"{""application_type"": ""BLA"", ""application_number"": ""125062"", ""registry"": ""purple_book"", ""center"": ""CBER"", ""proprietary_name"": ""Octagam 10%"", ""applicant"": ""Octapharma Pharmazeutika Produktionsges.m.b.H."", ""first_approval_date"": ""2004-05-21""}",
Ivermectin,206255,"{""application_type"": ""NDA"", ""application_number"": ""206255"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""SOOLANTRA"", ""applicant"": ""GALDERMA LABORATORIES LP"", ""first_approval_date"": ""2014-12-19""}","{""application_type"": ""N"", ""application_number"": ""206255"", ""ingredient"": ""IVERMECTIN"", ""trade_name"": ""SOOLANTRA"", ""applicant"": ""GALDERMA LABS LP"", ""applicant_full_name"": ""GALDERMA LABORATORIES LP"", ""products"": [{""product_number"": ""001"", ""strength"": ""1%"", ""dosage_form"": ""CREAM"", ""route"": ""TOPICAL"", ""approval_date"": ""2014-12-19"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""10206939"", ""expiration_date"": ""2034-03-13"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2019-02-19"", ""product_numbers"": [""001""]}, {""patent_number"": ""9089587"", ""expiration_date"": ""2034-03-13"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2015-07-31"", ""product_numbers"": [""001""]}, {""patent_number"": ""9233117"", ""expiration_date"": ""2034-03-13"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2016-01-19"", ""product_numbers"": [""001""]}, {""patent_number"": ""9233118"", ""expiration_date"": ""2034-03-13"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2016-01-19"", ""product_numbers"": [""001""]}, {""patent_number"": ""9782425"", ""expiration_date"": ""2034-03-13"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2018-01-05"", ""product_numbers"": [""001""]}], ""exclusivities"": [], ""latest_patent_expiration"": ""2034-03-13"", ""latest_exclusivity_expiration"": null, ""data_file_date"": null}"
Ixekizumab,125521,"{""application_type"": ""BLA"", ""application_number"": ""125521"", ""registry"": ""purple_book"", ""center"": ""CDER"", ""proprietary_name"": ""Taltz"", ""applicant"": ""Eli Lilly and Company"", ""first_approval_date"": ""2016-03-22""}",
Lebrikizumab,761306,"{""application_type"": ""BLA"", ""application_number"": ""761306"", ""registry"": ""purple_book"", ""center"": ""CDER"", ""proprietary_name"": ""Ebglyss"", ""applicant"": ""Eli Lilly and Company"", ""first_approval_date"": ""2024-09-13""}",
Minocycline,212379,"{""application_type"": ""NDA"", ""application_number"": ""212379"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""AMZEEQ"", ""applicant"": ""JOURNEY MEDICAL CORP"", ""first_approval_date"": ""2019-10-18""}","{""application_type"": ""N"", ""application_number"": ""212379"", ""ingredient"": ""MINOCYCLINE HYDROCHLORIDE"", ""trade_name"": ""AMZEEQ"", ""applicant"": ""JOURNEY"", ""applicant_full_name"": ""JOURNEY MEDICAL CORP"", ""products"": [{""product_number"": ""001"", ""strength"": ""EQ 4% BASE"", ""dosage_form"": ""AEROSOL, FOAM"", ""route"": ""TOPICAL"", ""approval_date"": ""2019-10-18"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""10086080"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2647"", ""delisted"": false, ""submission_date"": ""2019-11-15"", ""product_numbers"": [""001""]}, {""patent_number"": ""10137200"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2647"", ""delisted"": false, ""submission_date"": ""2019-11-15"", ""product_numbers"": [""001""]}, {""patent_number"": ""10213512"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2647"", ""delisted"": false, ""submission_date"": ""2019-11-15"", ""product_numbers"": [""001""]}, {""patent_number"": ""10265404"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2019-11-15"", ""product_numbers"": [""001""]}, {""patent_number"": ""10398641"", ""expiration_date"": ""2037-09-08"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2647"", ""delisted"": false, ""submission_date"": ""2019-11-15"", ""product_numbers"": [""001""]}, {""patent_number"": ""10517882"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2647"", ""delisted"": false, ""submission_date"": ""2020-01-10"", ""product_numbers"": [""001""]}, {""patent_number"": ""10821187"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2647"", ""delisted"": false, ""submission_date"": ""2020-11-16"", ""product_numbers"": [""001""]}, {""patent_number"": ""10849847"", ""expiration_date"": ""2037-09-08"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2647"", ""delisted"": false, ""submission_date"": ""2020-12-09"", ""product_numbers"": [""001""]}, {""patent_number"": ""8865139"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2647"", ""delisted"": false, ""submission_date"": ""2019-11-15"", ""product_numbers"": [""001""]}, {""patent_number"": ""8945516"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2019-11-15"", ""product_numbers"": [""001""]}, {""patent_number"": ""8992896"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2647"", ""delisted"": false, ""submission_date"": ""2019-11-15"", ""product_numbers"": [""001""]}, {""patent_number"": ""9675700"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-2647"", ""delisted"": false, ""submission_date"": ""2019-11-15"", ""product_numbers"": [""001""]}], ""exclusivities"": [], ""latest_patent_expiration"": ""2037-09-08"", ""latest_exclusivity_expiration"": null, ""data_file_date"": null}"
Minocycline,213690,"{""application_type"": ""NDA"", ""application_number"": ""213690"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""ZILXI"", ""applicant"": ""JOURNEY MEDICAL CORP"", ""first_approval_date"": ""2020-05-28""}","{""application_type"": ""N"", ""application_number"": ""213690"", ""ingredient"": ""MINOCYCLINE HYDROCHLORIDE"", ""trade_name"": ""ZILXI"", ""applicant"": ""JOURNEY"", ""applicant_full_name"": ""JOURNEY MEDICAL CORP"", ""products"": [{""product_number"": ""001"", ""strength"": ""EQ 1.5% BASE"", ""dosage_form"": ""AEROSOL, FOAM"", ""route"": ""TOPICAL"", ""approval_date"": ""2020-05-28"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""10213512"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2020-06-22"", ""product_numbers"": [""001""]}, {""patent_number"": ""10265404"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2020-06-22"", ""product_numbers"": [""001""]}, {""patent_number"": ""10322186"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2020-06-22"", ""product_numbers"": [""001""]}, {""patent_number"": ""10946101"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2021-03-22"", ""product_numbers"": [""001""]}, {""patent_number"": ""12138311"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2024-12-11"", ""product_numbers"": [""001""]}, {""patent_number"": ""12661407"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2026-07-14"", ""product_numbers"": [""001""]}, {""patent_number"": ""8865139"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2020-06-22"", ""product_numbers"": [""001""]}, {""patent_number"": ""8945516"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2020-06-22"", ""product_numbers"": [""001""]}, {""patent_number"": ""8992896"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2020-06-22"", ""product_numbers"": [""001""]}, {""patent_number"": ""9675700"", ""expiration_date"": ""2030-10-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-1631"", ""delisted"": false, ""submission_date"": ""2020-06-22"", ""product_numbers"": [""001""]}], ""exclusivities"": [], ""latest_patent_expiration"": ""2030-10-01"", ""latest_exclusivity_expiration"": null, ""data_file_date"": null}"
Nemolizumab,761390,"{""application_type"": ""BLA"", ""application_number"": ""761390"", ""registry"": ""purple_book"", ""center"": ""CDER"", ""proprietary_name"": ""Nemluvio"", ""applicant"": ""Galderma Laboratories, L.P."", ""first_approval_date"": ""2024-08-12""}",
Omalizumab,103976,"{""application_type"": ""BLA"", ""application_number"": ""103976"", ""registry"": ""purple_book"", ""center"": ""CDER"", ""proprietary_name"": ""Xolair"", ""applicant"": ""Genentech, Inc."", ""first_approval_date"": ""2003-06-20""}",
Oxymetazoline,208552,"{""application_type"": ""NDA"", ""application_number"": ""208552"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""RHOFADE"", ""applicant"": ""MAYNE PHARMA LLC"", ""first_approval_date"": ""2017-01-18""}","{""application_type"": ""N"", ""application_number"": ""208552"", ""ingredient"": ""OXYMETAZOLINE HYDROCHLORIDE"", ""trade_name"": ""RHOFADE"", ""applicant"": ""MAYNE PHARMA"", ""applicant_full_name"": ""MAYNE PHARMA LLC"", ""products"": [{""product_number"": ""001"", ""strength"": ""1%"", ""dosage_form"": ""CREAM"", ""route"": ""TOPICAL"", ""approval_date"": ""2017-01-18"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""7812049"", ""expiration_date"": ""2028-05-02"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-1959"", ""delisted"": false, ""submission_date"": ""2017-02-09"", ""product_numbers"": [""001""]}, {""patent_number"": ""8883838"", ""expiration_date"": ""2031-12-01"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2017-02-09"", ""product_numbers"": [""001""]}, {""patent_number"": ""10335391"", ""expiration_date"": ""2035-06-11"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2567"", ""delisted"": false, ""submission_date"": ""2019-07-08"", ""product_numbers"": [""001""]}, {""patent_number"": ""10751325"", ""expiration_date"": ""2035-06-11"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2921"", ""delisted"": false, ""submission_date"": ""2020-08-26"", ""product_numbers"": [""001""]}, {""patent_number"": ""11517560"", ""expiration_date"": ""2035-06-11"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3494"", ""delisted"": false, ""submission_date"": ""2022-12-29"", ""product_numbers"": [""001""]}, {""patent_number"": ""12350255"", ""expiration_date"": ""2035-06-11"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3494"", ""delisted"": false, ""submission_date"": ""2025-07-17"", ""product_numbers"": [""001""]}, {""patent_number"": ""9974773"", ""expiration_date"": ""2035-06-11"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-2306"", ""delisted"": false, ""submission_date"": ""2018-05-22"", ""product_numbers"": [""001""]}], ""exclusivities"": [], ""latest_patent_expiration"": ""2035-06-11"", ""latest_exclusivity_expiration"": null, ""data_file_date"": null}"
Ozenoxacin,208945,"{""application_type"": ""NDA"", ""application_number"": ""208945"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""XEPI"", ""applicant"": ""LNHC INC"", ""first_approval_date"": ""2017-12-11""}","{""application_type"": ""N"", ""application_number"": ""208945"", ""ingredient"": ""OZENOXACIN"", ""trade_name"": ""XEPI"", ""applicant"": ""LNHC"", ""applicant_full_name"": ""LNHC INC"", ""products"": [{""product_number"": ""001"", ""strength"": ""1%"", ""dosage_form"": ""CREAM"", ""route"": ""TOPICAL"", ""approval_date"": ""2017-12-11"", ""rld"": true, ""rs"": false, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""9180200"", ""expiration_date"": ""2032-01-29"", ""drug_substance_claim"": false, ""drug_product_claim"": true, ""patent_use_code"": ""U-805"", ""delisted"": false, ""submission_date"": ""2018-01-19"", ""product_numbers"": [""001""]}, {""patent_number"": ""9399014"", ""expiration_date"": ""2029-12-15"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-805"", ""delisted"": false, ""submission_date"": ""2018-01-19"", ""product_numbers"": [""001""]}], ""exclusivities"": [], ""latest_patent_expiration"": ""2032-01-29"", ""latest_exclusivity_expiration"": null, ""data_file_date"": null}"
Remibrutinib,218436,"{""application_type"": ""NDA"", ""application_number"": ""218436"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""RHAPSIDO"", ""applicant"": ""NOVARTIS"", ""first_approval_date"": ""2025-09-30""}","{""application_type"": ""N"", ""application_number"": ""218436"", ""ingredient"": ""REMIBRUTINIB"", ""trade_name"": ""RHAPSIDO"", ""applicant"": ""NOVARTIS"", ""applicant_full_name"": ""NOVARTIS PHARMACEUTICALS CORP"", ""products"": [{""product_number"": ""001"", ""strength"": ""25MG"", ""dosage_form"": ""TABLET"", ""route"": ""ORAL"", ""approval_date"": ""2025-09-30"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""10457647"", ""expiration_date"": ""2034-11-13"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-4280"", ""delisted"": false, ""submission_date"": ""2025-10-21"", ""product_numbers"": [""001""]}, {""patent_number"": ""9512084"", ""expiration_date"": ""2034-11-13"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2025-10-21"", ""product_numbers"": [""001""]}, {""patent_number"": ""12419889"", ""expiration_date"": ""2043-01-19"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-4281"", ""delisted"": false, ""submission_date"": ""2025-10-21"", ""product_numbers"": [""001""]}], ""exclusivities"": [{""code"": ""NCE"", ""expiration_date"": ""2030-09-30"", ""product_numbers"": [""001""]}], ""latest_patent_expiration"": ""2043-01-19"", ""latest_exclusivity_expiration"": ""2030-09-30"", ""data_file_date"": null}"
Risankizumab,761105,"{""application_type"": ""BLA"", ""application_number"": ""761105"", ""registry"": ""purple_book"", ""center"": ""CDER"", ""proprietary_name"": ""Skyrizi"", ""applicant"": ""AbbVie Inc."", ""first_approval_date"": ""2019-04-23""}",
Ritlecitinib,215830,"{""application_type"": ""NDA"", ""application_number"": ""215830"", ""registry"": ""orange_book"", ""center"": ""CDER"", ""proprietary_name"": ""LITFULO"", ""applicant"": ""PFIZER INC"", ""first_approval_date"": ""2023-06-23""}","{""application_type"": ""N"", ""application_number"": ""215830"", ""ingredient"": ""RITLECITINIB"", ""trade_name"": ""LITFULO"", ""applicant"": ""PFIZER"", ""applicant_full_name"": ""PFIZER INC"", ""products"": [{""product_number"": ""001"", ""strength"": ""EQ 50MG BASE"", ""dosage_form"": ""CAPSULE"", ""route"": ""ORAL"", ""approval_date"": ""2023-06-23"", ""rld"": true, ""rs"": true, ""te_code"": null, ""marketing_type"": ""HUMAN PRESCRIPTION DRUG""}], ""patents"": [{""patent_number"": ""12077533"", ""expiration_date"": ""2034-12-03"", ""drug_substance_claim"": false, ""drug_product_claim"": false, ""patent_use_code"": ""U-3994"", ""delisted"": false, ""submission_date"": ""2024-10-02"", ""product_numbers"": [""001""]}, {""patent_number"": ""9617258"", ""expiration_date"": ""2034-12-03"", ""drug_substance_claim"": true, ""drug_product_claim"": true, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2023-07-21"", ""product_numbers"": [""001""]}, {""patent_number"": ""12116368"", ""expiration_date"": ""2041-10-17"", ""drug_substance_claim"": true, ""drug_product_claim"": false, ""patent_use_code"": null, ""delisted"": false, ""submission_date"": ""2024-10-17"", ""product_numbers"": [""001""]}], ""exclusivities"": [{""code"": ""NCE"", ""expiration_date"": ""2028-06-23"", ""product_numbers"": [""001""]}], ""latest_patent_expiration"": ""2041-10-17"", ""latest_exclusivity_expiration"": ""2028-06-23"", ""data_file_date"": null}"
